Grid No,Center,Region area (no of pixels)
1,"(40.238461538461536, 39.03269230769231)",520
2,"(41.409181636726544, 46.78842315369261)",501
3,"(40.67150084317032, 54.3531197301855)",2965
4,"(39.67202572347267, 62.29742765273312)",622
5,"(47.21627408993576, 39.770877944325484)",467
6,"(46.40241448692153, 46.94164989939638)",497
7,"(46.1951566951567, 45.263532763532766)",702
8,"(48.2657200811359, 45.657200811359026)",493
9,"(51.25855962219599, 43.54191263282172)",847
10,"(53.65896980461812, 48.731793960923625)",563
11,"(52.36184210526316, 49.85964912280702)",912
12,"(59.15082266910421, 55.495429616087755)",1094
